task,variant,N,param_name,param_value,threads,mean_total_s,std_total_s,mean_kernel_s,std_kernel_s
A,static,100000,K,20,1,0.330269164,0.008273828,0.330156354,0.008272369
A,dynamic_1,100000,K,20,1,0.323206183,0.014421264,0.323095860,0.014420724
A,dynamic_4,100000,K,20,1,0.318556530,0.011685702,0.318429346,0.011676647
A,dynamic_16,100000,K,20,1,0.343114702,0.049652439,0.342969393,0.049666416
A,dynamic_64,100000,K,20,1,0.320579676,0.012280243,0.320466917,0.012283540
A,guided_1,100000,K,20,1,0.334149570,0.028445677,0.334034203,0.028430580
A,guided_4,100000,K,20,1,0.328177299,0.027221494,0.328044928,0.027231714
A,guided_16,100000,K,20,1,0.318535324,0.016195598,0.318405784,0.016200437
A,guided_64,100000,K,20,1,0.313551391,0.006534739,0.313423567,0.006538924
A,static,100000,K,20,2,0.167421429,0.010424369,0.167301622,0.010441712
A,dynamic_1,100000,K,20,2,0.191650672,0.046106298,0.191509918,0.046095743
A,dynamic_4,100000,K,20,2,0.165809222,0.007750410,0.165676673,0.007757180
A,dynamic_16,100000,K,20,2,0.170468434,0.018314536,0.170296104,0.018320266
A,dynamic_64,100000,K,20,2,0.193657482,0.047420857,0.193515494,0.047438385
A,guided_1,100000,K,20,2,0.184983930,0.024487376,0.184849915,0.024504994
A,guided_4,100000,K,20,2,0.171746556,0.011458322,0.171626534,0.011451768
A,guided_16,100000,K,20,2,0.171554344,0.015131581,0.171386824,0.015109955
A,guided_64,100000,K,20,2,0.186594545,0.047405688,0.186466743,0.047418767
A,static,100000,K,20,4,0.139563662,0.018330557,0.139426522,0.018310331
A,dynamic_1,100000,K,20,4,0.125171846,0.015731758,0.125020908,0.015732110
A,dynamic_4,100000,K,20,4,0.105432209,0.009798796,0.105271146,0.009795235
A,dynamic_16,100000,K,20,4,0.124519369,0.028792850,0.124380860,0.028777234
A,dynamic_64,100000,K,20,4,0.115046791,0.026314265,0.114896236,0.026308653
A,guided_1,100000,K,20,4,0.138212917,0.037353376,0.138088413,0.037355534
A,guided_4,100000,K,20,4,0.124748824,0.010611854,0.124624502,0.010626544
A,guided_16,100000,K,20,4,0.120431077,0.023355309,0.120286754,0.023339577
A,guided_64,100000,K,20,4,0.104391245,0.024161562,0.104276588,0.024148392
A,static,100000,K,20,8,0.101679097,0.017461829,0.101534824,0.017461780
A,dynamic_1,100000,K,20,8,0.081265471,0.003872871,0.081123942,0.003872273
A,dynamic_4,100000,K,20,8,0.099658724,0.011246388,0.099512841,0.011244737
A,dynamic_16,100000,K,20,8,0.079809544,0.004491340,0.079669442,0.004489620
A,dynamic_64,100000,K,20,8,0.084070096,0.006502924,0.083927539,0.006501457
A,guided_1,100000,K,20,8,0.116643987,0.021824789,0.115663045,0.023029212
A,guided_4,100000,K,20,8,0.084188727,0.006955908,0.084046787,0.006954801
A,guided_16,100000,K,20,8,0.101558379,0.014381634,0.101413082,0.014383930
A,guided_64,100000,K,20,8,0.135116796,0.022115908,0.134967054,0.022115452
A,static,100000,K,24,1,1.884587216,0.057617999,1.884468983,0.057606969
A,dynamic_1,100000,K,24,1,1.981822433,0.075771467,1.981702941,0.075760520
A,dynamic_4,100000,K,24,1,2.270643361,0.055171183,2.270523189,0.055167628
A,dynamic_16,100000,K,24,1,2.228134426,0.103416462,2.228008284,0.103422793
A,dynamic_64,100000,K,24,1,2.247249893,0.043550646,2.247109442,0.043543334
A,guided_1,100000,K,24,1,2.345780026,0.106008696,2.345639704,0.106016022
A,guided_4,100000,K,24,1,2.431022223,0.058255278,2.430893667,0.058255683
A,guided_16,100000,K,24,1,2.048232222,0.298533551,2.048114561,0.298514978
A,guided_64,100000,K,24,1,1.855184562,0.020918633,1.855075124,0.020914865
A,static,100000,K,24,2,0.995610820,0.082610024,0.995495000,0.082606034
A,dynamic_1,100000,K,24,2,0.943680220,0.027384234,0.943565862,0.027386867
A,dynamic_4,100000,K,24,2,0.948738431,0.031205888,0.948630333,0.031207278
A,dynamic_16,100000,K,24,2,1.008527928,0.060714725,1.008417331,0.060718560
A,dynamic_64,100000,K,24,2,0.967819517,0.031366303,0.967699140,0.031348465
A,guided_1,100000,K,24,2,0.958610821,0.032515194,0.958497823,0.032510646
A,guided_4,100000,K,24,2,0.947079659,0.021745349,0.946972296,0.021745015
A,guided_16,100000,K,24,2,0.948514921,0.023907082,0.948390593,0.023891415
A,guided_64,100000,K,24,2,0.954604828,0.041119389,0.954493772,0.041113607
A,static,100000,K,24,4,0.579824037,0.052576035,0.579706211,0.052571101
A,dynamic_1,100000,K,24,4,0.494170662,0.027467490,0.494054736,0.027472461
A,dynamic_4,100000,K,24,4,0.497067547,0.025249713,0.496957951,0.025249360
A,dynamic_16,100000,K,24,4,0.492004613,0.018347706,0.491887563,0.018340314
A,dynamic_64,100000,K,24,4,0.507759996,0.044737824,0.507635811,0.044740587
A,guided_1,100000,K,24,4,0.511385909,0.055639935,0.511272333,0.055638314
A,guided_4,100000,K,24,4,0.509637488,0.028157227,0.509526084,0.028157802
