variant,n,threads,reps,avg_time_sec,stddev_time_sec,checksum
naive,100000,1,5,0.000078,0.000007,51536831.172801
tidy,100000,1,5,0.000075,0.000002,51536831.172801
naive,100000,2,5,0.000044,0.000004,51536831.172801
tidy,100000,2,5,0.000042,0.000002,51536831.172801
naive,100000,4,5,0.000038,0.000001,51536831.172801
tidy,100000,4,5,0.000044,0.000011,51536831.172801
naive,100000,8,5,0.000815,0.001561,51536831.172801
tidy,100000,8,5,0.000043,0.000015,51536831.172801
naive,100000,16,5,0.000150,0.000026,51536831.172801
tidy,100000,16,5,0.000118,0.000012,51536831.172801
naive,500000,1,5,0.000803,0.000136,258169580.401615
tidy,500000,1,5,0.000870,0.000200,258169580.401615
naive,500000,2,5,0.000324,0.000044,258169580.401615
tidy,500000,2,5,0.000363,0.000101,258169580.401615
naive,500000,4,5,0.000285,0.000046,258169580.401615
tidy,500000,4,5,0.000330,0.000094,258169580.401615
naive,500000,8,5,0.005008,0.004142,258169580.401615
tidy,500000,8,5,0.003527,0.002687,258169580.401615
naive,500000,16,5,0.000421,0.000137,258169580.401615
tidy,500000,16,5,0.000424,0.000218,258169580.401615
naive,1000000,1,5,0.001886,0.000267,516422113.097595
tidy,1000000,1,5,0.001570,0.000104,516422113.097595
naive,1000000,2,5,0.001288,0.000143,516422113.097595
tidy,1000000,2,5,0.001241,0.000201,516422113.097595
naive,1000000,4,5,0.001084,0.000041,516422113.097595
tidy,1000000,4,5,0.001187,0.000125,516422113.097595
naive,1000000,8,5,0.009670,0.002420,516422113.097595
tidy,1000000,8,5,0.005313,0.002142,516422113.097595
naive,1000000,16,5,0.001601,0.000202,516422113.097595
tidy,1000000,16,5,0.001605,0.000338,516422113.097595
